Read	Ref	ReadLen
r000	transgene	1000
r001	transgene	1000
r002	transgene	1000
r003	transgene	1000
r004	transgene	1000
r005	transgene	1000
r006	transgene	1000
r007	transgene	1000
r008	transgene	1000
r009	transgene	1000
r010	transgene	1000
r011	transgene	1000
r012	transgene	1000
r013	transgene	1000
r014	transgene	1000
r015	transgene	1000
r016	transgene	1000
r017	transgene	1000
r018	transgene	1000
r019	transgene	1000
r020	transgene	1000
r021	transgene	1000
r022	transgene	1000
r023	transgene	1000
r024	transgene	1000
r025	transgene	1000
r026	transgene	1000
r027	transgene	1000
r028	transgene	1000
r029	transgene	1000
r030	transgene	1000
r031	transgene	1000
r032	transgene	1000
r033	transgene	1000
r034	transgene	1000
r035	transgene	1000
r036	transgene	1000
r037	transgene	1000
r038	transgene	1000
r039	transgene	1000
r040	transgene	1000
r041	transgene	1000
r042	transgene	1000
r043	transgene	1000
r044	transgene	1000
r045	transgene	1000
r046	transgene	1000
r047	transgene	1000
r048	transgene	1000
r049	transgene	1000
r050	transgene	1000
r051	transgene	1000
r052	transgene	1000
r053	transgene	1000
r054	transgene	1000
r055	transgene	1000
r056	transgene	1000
r057	transgene	1000
r058	transgene	1000
r059	transgene	1000
r060	transgene	1000
r061	transgene	1000
r062	transgene	1000
r063	transgene	1000
r064	transgene	1000
r065	transgene	1000
r066	transgene	1000
r067	transgene	1000
r068	transgene	1000
r069	transgene	1000
r070	transgene	1000
r071	transgene	1000
r072	transgene	1000
r073	transgene	1000
r074	transgene	1000
r075	transgene	1000
r076	transgene	1000
r077	transgene	1000
r078	transgene	1000
r079	transgene	1000
r080	helper	1200
r081	helper	1200
r082	helper	1200
r083	helper	1200
r084	helper	1200
r085	helper	1200
r086	helper	1200
r087	helper	1200
r088	helper	1200
r089	helper	1200
r090	host	1500
r091	host	1500
r092	host	1500
r093	host	1500
r094	host	1500
