Read	Ref
r000	transgene
r001	transgene
r002	transgene
r003	transgene
r004	transgene
r005	transgene
r006	transgene
r007	transgene
r008	transgene
r009	transgene
r010	transgene
r011	transgene
r012	transgene
r013	transgene
r014	transgene
r015	transgene
r016	transgene
r017	transgene
r018	transgene
r019	transgene
r020	transgene
r021	transgene
r022	transgene
r023	transgene
r024	transgene
r025	transgene
r026	transgene
r027	transgene
r028	transgene
r029	transgene
r030	transgene
r031	transgene
r032	transgene
r033	transgene
r034	transgene
r035	transgene
r036	transgene
r037	transgene
r038	transgene
r039	transgene
r040	transgene
r041	transgene
r042	transgene
r043	transgene
r044	transgene
r045	transgene
r046	transgene
r047	transgene
r048	transgene
r049	transgene
r050	transgene
r051	transgene
r052	transgene
r053	transgene
r054	transgene
r055	transgene
r056	transgene
r057	transgene
r058	transgene
r059	transgene
r060	transgene
r061	transgene
r062	transgene
r063	transgene
r064	transgene
r065	transgene
r066	transgene
r067	transgene
r068	transgene
r069	transgene
r070	transgene
r071	transgene
r072	transgene
r073	transgene
r074	transgene
r075	transgene
r076	transgene
r077	transgene
r078	transgene
r079	transgene
r080	helper
r081	helper
r082	helper
r083	helper
r084	helper
r085	helper
r086	helper
r087	helper
r088	helper
r089	helper
r090	host
r091	host
r092	host
r093	host
r094	host
